text,target
화장실은 청소를 해도 곰팡이는 없어지질 않아. 어떻게 해야 돼.,angry
맞아. 우리 집은 화장실에 창문 하나도 없어. 그러니 습기가 빠져나갈 데가 없어.,angry
맞아. 장마철이라 더 많은 곰팡이가 피는 것 같애. 그래서 하루 종일 락스로 닦았더니 머리까지 아파 이젠.,angry
"곰팡이 제거제라는 것도 있었어? 아이, 그런 걸로 청소를 했어야 하는 건데.",angry
당연히 구매해서 써봐야지. 당장에 구매할게.,angry
으! 쓰레기통에서 역겨운 냄새가 나기 시작했어.,disgust
며칠 전에 버린 음식물 쓰레기 때문에 그렇게 된 것 같애.,disgust
당연히 바로 묶어서 버렸지. 하지만 냄새가 사라지질 않아.,disgust
"음식물 쓰레기 냄새, 방향제 냄새까지 섞이면 이상할까 봐서 못 뿌렸어.",disgust
내 잘못이니 어쩔 수 없지. 다음부턴 안 그럴 거야.,disgust
드디어 구매한 노트북이 도착했어.,happiness
알바비를 모아서 산 거기 때문에 좋은 건 못 샀어.,happiness
알았어. 걱정하지 마. 꼼꼼히 살펴보고 또 살펴 볼게.,happiness
"할 게 너무너무 많아. 영화도 봐야 되지, 그 동안 못 봤던 드라마나 예능 프로그램. 그리고 이걸로 프로젝트도 해야 돼.",happiness
"정말? 정말 그런 보험도 있었어? 당장에 가입해야지, 그럼.",happiness
내일 친구 만나는데 뭘 먹어야 될지 정말 고민이야.,neutral
음식점이 많기로 소문 난 강남역에서 만나기로 했어.,neutral
난 일식을 좋아하지만 그래도 양식도 좋아하기도 해. 둘 다 먹을 수 있어.,neutral
에피타이저 푸짐하게 주는 집이면 더 좋지. 그런 곳을 알려 줘.,neutral
그렇지. 빨리 알려 줘. 내 친구랑 의논해서 내일 정말 맛있게 먹고 올게.,neutral
나 드디어 프로젝트 끝냈어!,happiness
당연하지. 한 달 동안 주말도 반납해가면서 만든 프로젝트야. 완전히 끝냈다고.,happiness
그래. 신나는 음악 들으면서 맘껏 춤 추고 싶어.,happiness
벌써 다 약속 잡아 놨지. 내일 만나기로 했어.,happiness
그렇잖아도 내일 친구들이랑 만나서 여행 계획을 세울 거야. 좋은 생각이지?,happiness
나 너무 우울해. 매일매일이 정말 힘들어.,sadness
맞아. 밖에 나가서 햇빛을 못 보니 몸이 지치고 마음은 더 힘들고.,sadness
그런 음악 있으면 빨랑빨랑 추천해 줘. 듣고 힘 좀 내게.,sadness
영화까지 찾아주면 내가 좀 더 힘을 내볼 수 있을 거야. 얼른 찾아 줘.,sadness
아니 요즘은 왜들 다 이러는 건지 이해할 수가 없어.,angry
내가 좋아하는 유튜버가 괜찮은 제품이라고 하나 소개해서 나도 샀거든. 그랬더니 그게 돈 받고 하는 광고였대.,angry
더 실망스러운 건 모르는 척 하는 거야. 그래서 우리가 증거를 들이밀었지. 그랬더니 그 때서야 우리한테 사과하더라고.,angry
억지로 하는 사과가 진정성이 있었을까? 우리가 더 상처 받은 느낌이야.,angry
기분이 좀 나아진다면 그런 영상도 필요할 거라고 생각해. 좀 부탁해.,angry
나 아무래도 혼자 갇힌 것 같애.,fear
자고 일어났더니 온 마을이 다 물바다야. 나 혼자 있어. 무서워.,fear
"내가 잠이 들면 업어가도 몰라. 그래서 재난 문자랑 피하라는 전화도 못 받고, 그냥 잠만 자고 있었나 봐.",fear
우리 집 주위에 다 물로 차 있어. 나갈 수가 없어.,fear
내 몸은 괜찮아. 다친 덴 없어. 그리고 우리 집까진 아직 들어오지 않았어.,fear
"내일 친구랑 만나기로 했는데, 뭘 먹을지 모르겠어.",neutral
강남역에서 만나기로 했는데 아직도 뭘 먹을지 못 정했어.,neutral
강남역에 맛집이 너무 많으니까 더 못 고르겠더라고. 나는 일식을 좋아하니까 일식을 먹었으면 좋겠어.,neutral
"평점과 리뷰가 좋다고 하니까, 어떤.",neutral
평점과 리뷰가 좋다고 하니까 엄청 맛있을 거 같아. 너가 추천한 곳으로 가서 친구랑 맛있게 먹을게.,neutral
나 드디어 프로젝트가 끝났어.,happiness
프로젝트에 최종 발표를 마쳤으니까 모든 게 완전히 끝난 거야. 마음이 너무나 홀가분해.,happiness
신나는 음악을 들으면서 춤이라도 추고 싶은 게 내 심정이야. 그만큼 기분이 좋아.,happiness
"프로젝트를 하느라고 한 달 동안 친구를 못 만났는데, 못 만났던 친구를 만나는 것도 좋을 거 같아.",happiness
시간이 된다면 여행을 가서 마음을 좀 힐링 시키고 오고 싶어.,happiness
내 휴가가 엉망이야.,angry
"오늘부터 휴가 기간인데, 휴가 기간 내내 비 소식이 있어. 너무 짜증 나.",angry
"가족들이랑 동해 바다로 가서 놀고 오기로 했는데, 비가 와서 망했어.",angry
휴가 기간 내내 비가 온다니까 아무래도 집에서 보낼 수 있는 방법을 찾아봐야 될 거 같아. 쉬면서 휴가를 즐겁게 보낼 수 있는 방법을 찾아볼게.,angry
휴가 기간 내내 비가 온다고 하니까 아무래도 집에서 휴가를 보낼 수 있는 방법을 찾아 봐야 할 거 같아.,angry
드디어 구매한 노트북이 도착했어.,happiness
오자 마자 노트북 여기 저기를 살펴 봤는데 아무 문제가 없더라고. 성능도 정말 좋아.,happiness
노트북으로는 지금 구상하고 있는 만화를 만들 거야.,happiness
종종 밖에서 작업할 일도 생기니까 노트북 보험 가입을 생각해봐야겠어.,happiness
쓰레기통에서 냄새가 나서 쓰레기통 안을 뒤져봤더니 음식물 쓰레기가 상해서 냄새가 나는 거였어.,disgust
쓰레기통에서 냄새가 진동을 하고 날파리가 생겨서 지금 당장 쓰레기를 묶어서 버려야 할 거 같아.,disgust
고약한 냄새가 너무 심해서 방향제로 해결이 안 될 수도 있을 거 같아.,disgust
힘들어도 내가 쓰레기통에 음식물 쓰레기를 버려서 생긴 일이니까 얼른 치워야지. 어쩌겠어.,disgust
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
화장실에 환기를 자주 시키는데 왜 이렇게 곰팡이가 안 없어질까?,angry
계속 비가 오니까 습기가 많아서 곰팡이가 정말 안 없어지나 봐. 볼 때마다 청소를 하니까 너무 힘들어.,angry
화장실에 곰팡이를 없애는데 곰팡이 제거제가 효과가 있을까?,angry
곰팡이 제거제가 곰팡이를 없애는 데 효과가 있다고 하니까 나 한번 구매해서 사용해볼래. 괜찮은 걸로 추천 좀 해줘봐.,angry
나 너무 우울해.,sadness
코로나 때문에 재택 근무를 시작하면서 집에 있게 되니까 너무 우울해.,sadness
모든 일을 비대면으로 처리하다 보니까 밖에 나갈 일이 없어서 괜히 몸이 기력이 없고 쳐져.,sadness
기분이 우울할 때는 음악을 들으면 좀 나아질 거 같아.,sadness
"노래는 신나는 노래가 좋고, 영화는 재밌게 웃을 수 있는 영화였으면 좋겠어.",sadness
나 아까 해피를 산책시키다가 깜짝 놀랐어.,surprise
해피의 목줄이 갑자기 끊어져서 해피가 막 달려 나갔어.,surprise
"아까는 해피 때문에 너무 놀라서 진정이 안 됐는데, 집에 와서 좀 쉬니까 마음이 진정 돼.",surprise
"아까는 해피 때문에 엄청 놀랐는데, 집에 와서 좀 쉬고 나니까 마음이 진정이 돼.",surprise
헐! 나 이벤트에 당첨 됐어.,happiness
내가 좋아하는 인플루언서가 진행하는 이벤트에 당첨 됐어. 너무 기뻐!,happiness
"비싼 향수를 선물로 받았다고 주변 사람들한테 이야기했더니, 다들 부러워했어.",happiness
"10km 마라톤 대회에 출전했는데, 이전의 내 기록을 훨씬 경신했어. 너무 기뻐!",happiness
내가 달리는 운동을 너무 좋아해서 매번 열심히 연습해서 마라톤 대회에 출전했더니 좋은 성적을 낸 거 같아.,happiness
"달리는 동안에는 엄청 힘들고 지쳤는데, 결승선을 들어서는 순간 기분이 엄청 좋았어! 날아갈 거 같았어!",happiness
함께 달리는 크루가 있어서 힘들고 지칠 때 서로 힘이 돼서 너무 좋아.,happiness
나 어제 자다가 깜짝 놀라서 깼어.,surprise
간신히 잠이 들어서 자고 있는데 엄청 큰 천둥 번개 소리 때문에 깜짝 놀라서 깼어.,surprise
엄청 큰 천둥 번개 소리 때문에 깜짝 놀라서 깨서 무서워서 잠을 못 잤어.,surprise
"천둥 번개 소리 때문에 어제는 너무 놀라고 무서워서 잠도 못 잤는데 오늘 아침에 좀 눈을 붙였더니, 좀 나아졌어.",surprise
다른 피해가 없어서 정말 다행이었어.,surprise
나 요즘 주식을 시작했는데.,sadness
단톡방에서 아는 사람이 주식을 추천해서 구입하게 됐어.,sadness
주식은 시간이 지나도 오르지 않고 계속 떨어지고 있어서 손해가 보고 있어. 너무 속상해.,sadness
"주식이 계속 떨어져서 팔아버릴까 생각을 했는데, 너의 말대로 좀 더 지켜보고 팔아야겠어.",sadness
내가 좋아하는 유튜버가 뒷광고를 했다고 시청자들한테 사과하는 영상을 올렸어.,angry
"며칠 전에 자기는 뒷광고를 하지 않았다고 이야기했는데, 뒷광고 했다고 사과 영상을 올리니까 너무 어이가 없고 실망스러워.",angry
지금은 너무 화가 나서 기분 전환용 영상도 보기 싫어! 아무 영상도 보기가 싫어!,angry
기분 전환용 영상이 어떤 건데? 궁금하긴 하네.,angry
나 아무래도 갇힌 거 같아!,fear
잠을 자고 일어났는데 나 혼자 집 안에 갇힌 거 같아. 너무 무서워.,fear
"집 밖을 살펴봤는데, 집 주변까지 물이 차올라서, 밖으로 나갈 수 있는 상황이 아니야.",fear
다행히 집 안에까지는 물이 들어오지 않았어. 몸도 괜찮지만 혼자 있는 거 자체가 너무 무섭고 두려워.,fear
"내일 친구랑 밥 먹기로 했는데, 뭘 먹어야 될지 걱정이야.",neutral
음식점이 너무 많은 강남역에서 만나기로 했어.,neutral
나 일식을 좋아해. 근데 내 친구는 양식 쪽인 거 같기도 해. 둘 다 알려줄래?,neutral
맛도 있는데 에피타이저도 많이 주면 정말 금상첨화지. 좋은 집으로 부탁해.,neutral
알았어. 정말 고마워. 내일 친구랑 맛있게 먹고 올게.,neutral
나 드디어 프로젝트 끝났어.,happiness
그럼. 한 달 간 주말도 반납하고 얼마나 열심히 했는데. 완전히 끝났다니까!,happiness
응. 신나는 음악 들으면서 막 춤 추고 싶어.,happiness
그렇잖아도 친구들이랑 벌써 약속했지. 내일 만나기로 했어.,happiness
"알았어. 뭐든지 다 하고 싶어. 내일 친구들이랑 만나서 여행 계획도 세우고, 신나는 음악 들으면서 춤도 막 출 거야.",happiness
나 너무 우울해. 매일 매일이 힘들어.,sadness
코로나가 내 일상을 다 바꿔버렸어. 회사도 재택 근무한대.,sadness
"맞아. 사람은 활동이란 걸 해야 되는데, 통 밖을 못 나가니까 몸이 더 축 처지고 아픈 것 같애.",sadness
그런 게 있으면 진작 좀 알려 줘. 나 우울증에서 탈퇴하고 싶어.,sadness
노래도 좋은데 영화까지 찾아주면 정말 땡큐지. 고마워.,sadness
아니 요즘은 다 왜 이러는 거지? 난 정말 이해가 안 가.,angry
"내가 좋아하는 유튜버가 좋은 제품이라고 소개하는데, 알고 봤더니 그게 돈 받고 하는 광고였대.",angry
더 실망스러운 건 우리가 증거를 들이대기까지 사과를 안하는 거야. 그런데 나중에 끝내 사과하더라고.,angry
마지못해 하는 사과라서 진정성이라고는 털끝만큼도 없었어.,angry
이 더러운 기분을 없앨 수 있는 영상은 아무거나 다 추천해줘.,angry
나 아무래도 혼자 갇힌 것 같아.,fear
자고 일어났더니 우리 동네가 다 물바다야.,fear
내가 자느라고 재난문자랑 대피전화를 받지를 못했어. 그래서 나만 혼자 갇혀있는 거야.,fear
어. 우리집 주변이 다 물바다야. 밖으로 나갈 수가 없어.,fear
집안까지 물은 들어오지 않았지만 나갈 수 있는 통로가 다 막혀버렸어. 그리고 난 괜찮아. 기분이 조금 우울하긴 하지만.,fear
헐. 나 이벤트에 당첨되었대.,happiness
내 좋아하는 인플루언서가 파격 이벤트를 하더라고. 그래서 그냥 한 번 신청해봤지.,happiness
한 명 뽑는데 내가 당첨이 됐대.,happiness
완전 맘에 들어. 진짜진짜 비싼 향수거든.,happiness
아니. 이제부터 해야지.,happiness
내 휴가가 엉망진창이 되었어.,angry
정말 오랜만에 휴가를 냈더니 하필 장마철이랑 겹쳤대. 하루종일 비가 오고 있어.,angry
여름휴가라서 바다에 가려고 했었지. 다 엉망진창이 돼버렸어.,angry
회사가 바빠서 정말 1년만에 눈치보면서 낸거야.,angry
이번년도는 휴가는 포기해야 되겠지? 그럼 영화나 게임을 좀 추천해줄래?,angry
아니. 아까 해피 산책시키다가 정말 깜짝 놀랐어.,surprise
정말 다행인게 지나가시던 분이 해피를 잡아주셨어. 아니면 큰일날 뻔 했지.,surprise
주변 분들이 다들 나를 위로해주시더라고. 정말 감사했어.,surprise
응 맞아. 내가 제일 많이 놀랬어. 아직도 가슴이 뛰고 있어.,surprise
나 축하해줘. 정말 기분좋은 일이 있었어.,happiness
이번 마라톤 대회에 참가했는데 내가 생각했던 것보다 내 기록이 너무 잘 나왔어.,happiness
아니야. 선수처럼 잘 달리는게 아니라 그냥 내 기록보다 몇 분이나 더 빨리 도착한 거야.,happiness
나 요즘 주식을 새로 시작했는데 정말 우울해.,sadness
아는 지인이 갑자기 카톡으로 좋은 주식 정보가 있다고 알려주셨어. 그래서 시작하게 된 거야.,sadness
샀을 때보다 많이 떨어져서 정말 고민이 돼.,sadness
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
맞아. 우리집은 딱히 환기가 될만한 창문이란 게 없어. 그러니 더 심한 것 같애.,angry
맞아. 곰팡이 땜에 계속 락스로 청소했더니 머리가 너무 아파.,angry
지금 당장에 구매할게. 추천 좀 해줘.,angry
지금 당장 구매할게. 좋은 제품으로 추천 좀 해줘.,angry
으 쓰레기통에서 역겨운 냄새가 나기 시작했어.,disgust
내가 음식물 쓰레기를 쓰레기통에 버려버렸어.,disgust
바로 묶어서 버렸지. 하지만 냄새가 사라지질 않아.,disgust
방향제 냄새랑 음식물 쓰레기 냄새랑 섞여서 더 이상할까봐서 못하겠어.,disgust
드디어 구매한 노트북이 도착했어. 뜯어봐야지.,happiness
좋은 제품은 아니야. 알바비를 모아서 산 거기 때문에 저렴한 걸로 샀어.,happiness
알았어. 내가 다 알아서 할게. 걱정하지 마.,happiness
할 게 너무 많아. 영화도 봐야지. 그동안 못봤던 드라마하고 예능프로도 볼 거야. 그리고 중요한 건 프로젝트를 해야 돼.,happiness
오호. 좋은 정보인데? 그런 게 있으면 당장 가입해야지.,happiness
내일 친구를 만나기로 했는데 뭘 먹어야할지 모르겠어.,neutral
내일 강남역에서 친구를 만나기로 했는데 아직도 뭘 먹어야 할지 못 정했어.,neutral
강남역에 맛집이 너무 많아서 고르기가 힘들더라구. 나는 양식을 좋아하니까 친구랑 양식을 먹고 싶어.,neutral
에피타이저부터 푸짐하게 주는 집이 있다니까 너무 기대가 돼.,neutral
평점과 리뷰가 좋은 것을 추천해줘서 너무 고마워. 친구랑 가서 맛있게 먹고 올게.,neutral
나 드디어 프로젝트가 끝났어.,happiness
최종 발표를 마쳤으니까 프로젝트가 완전히 끝난 거라고 보면 돼. 너무 홀가분해.,happiness
신나는 음악을 들으면서 춤을 추고 싶을 정도로 기분이 너무 좋아.,happiness
프로젝트를 진행하느라고 한 달 동안 친구를 못 만났는데 이번 기회에 친구를 만나는 것도 좋을 것 같아.,happiness
그동안 프로젝트를 하느라고 너무 바쁘고 힘들었으니까 이번 기회에 여행을 가서 힐링을 하고 오는 시간을 가져봐야겠어.,happiness
내 휴가가 엉망이야.,angry
오늘부터 일주일동안 휴간데 휴가기간 내내 비가 온대. 너무 짜증나.,angry
오랜만에 가족들이랑 동해바다에 가서 실컷 놀고 오기로 했어. 그런데 비가 와서 망했어.,angry
프로젝트가 너무 바빠서 일년만에 받은 휴가인데 비가 와서 아무데도 갈 수가 없어. 너무 속상해.,angry
휴가 기간 내내 비소식이 있어서 여행을 가는 건 포기할 것 같아. 너의 말대로 쉬면서 집에서 휴가를 즐길 수 있는 방법을 찾아봐야 할 것 같아.,angry
쓰레기통에서 역겨운 냄새가 나고 있어.,disgust
쓰레기통에서 이상한 냄새가 나서 쓰레기통 안을 뒤져봤더니 음식물쓰레기가 썩어서 나는 냄새였어.,disgust
쓰레기통에서 나는 냄새가 너무 고약하고 날파리가 생겨서 지금 당장 음식물쓰레기랑 같이 쓰레기를 버려야 될 거 같아.,disgust
냄새가 너무 고약해서 방향제로 처리할 수 있을지 모르겠어.,disgust
치우는게 너무 힘들지만 내가 음식물쓰레기를 쓰레기통에다 버린게 잘못이니까 얼른 냄새안나게 치워야지.,disgust
구매한 노트북이 엄청 늦게 와서 기다리고 있었는데 오늘 도착한거야. 너무 기뻐. 노트북은 200만원 정도 주고 샀어.,happiness
노트북이 도착하자마자 문제가 있는지 여기저기 살펴봤는데 다 괜찮았어. 엄청 좋아.,happiness
노트북으로 동화책 글쓰기 작업을 할거야. 너무 기대가 돼.,happiness
노트북을 밖에서 쓸 일도 생길테니까 보험 가입을 생각해봐야겠어.,happiness
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
요새 환기를 자주 시켜주는데도 화장실에 곰팡이가 계속 생기고 있어서 신경쓰여.,angry
곰팡이 제거제가 화장실에 곰팡이를 없애는데 많은 효과가 있대?,angry
그래? 곰팡이 제거제가 곰팡이를 없애는 데 효과가 있다고 하니까 나도 한번 구매해볼래. 효과 좋은 걸로 한번 추천해줘.,angry
나 너무 우울해.,sadness
요새 코로나 때문에 재택근무를 시작하면서 매일 집안에만 있으니까 마음이 울적해져.,sadness
모든 일처리를 비대면으로 하다보니까 밖에 나갈 일도 없어서 기력이 없고 몸이 처지는 것 같아.,sadness
기분이 우울할 때 신나는 음악을 들으면 기분이 좀 나아지긴 하지.,sadness
나는 음악이 신났으면 좋겠고 영화는 진짜 재미있는 걸 봤으면 좋겠어. 내가 좋아하는 장르로 추천해줘.,sadness
아니. 해피 산책시키다가 깜짝 놀랐어.,surprise
갑자기 해피의 목줄이 끊어져서 해피가 막 달려나갔어.,surprise
엄청 놀라서 내가 막 달려가서 해피를 안고 왔기 때문에 아무일도 안생겼어.,surprise
해피가 갑자기 사람들 있는 데로 막 달려오니까 주변 사람들이 엄청 놀라서 소리를 질렀어.,surprise
해피가 사람들을 물까봐 엄청 놀랐는데 다행히 아무 일도 없어서 괜찮았어. 너무 놀랐지만 지금은 좀 쉬고나니까 마음이 진정됐어.,surprise
달리는 동안은 너무 지치고 힘들었는데 결승선을 통과하는 순간 너무 기분이 좋았어. 날아갈 것 같았어.,happiness
함께 뛰는 크루가 있어서 힘들 때마다 격려해주니까 큰 힘이 돼.,happiness
인플루언서가 진행하는 이벤트에 당첨돼서 기분이 엄청 좋아.,happiness
당첨자를 한 명 뽑는 거였는데 내가 당첨된 거야. 엄청 운이 좋지?,happiness
당연히 자랑했지! 비싼 향수를 선물로 받았다고 자랑했더니 다들 부러워했어.,happiness
당연하지. 비싼 향수를 선물로 받았다고 사람들한테 이야기했더니 다들 부러워했어.,happiness
나 어제 자다가 깜짝 놀랐어.,surprise
"간신히 잠이 들어서 자고 있었는데, 갑자기 엄청 큰 천둥번개 소리에 깜짝 놀라서 깼어.",surprise
살면서 그렇게 큰 천둥번개 소리는 정말 처음이었어. 그래서 엄청 놀라서 잠도 못잤어.,surprise
"어제는 천둥 번개 소리에 놀라서 잠도 못잤는데, 오늘 아침에 눈을 붙이고 나니까 조금 괜찮아졌어.",surprise
"천둥번개 소리가 엄청 커서 큰 피해를 입을까봐 걱정했는데, 아무런 피해가 없어서 정말 다행이야.",surprise
나 요즘 주식을 시작했는데.,sadness
단톡방에 아는 사람이 주식으로 큰 돈을 벌었다고 하면서 주식을 구입하라고 추천해줬어.,sadness
전자쪽 주식을 구입하면 주식이 오를거라고 하면서 구입하라고 해서 전자 종목을 주식으로 구입했어.,sadness
시간이 갈 수록 주가가 오르지 않고 떨어지고 있어서 손해를 보고 있어. 너무 속상해.,sadness
"주가가 계속 떨어지고 있어서 너무 속상해서 팔아버릴까 생각했는데, 당분간 너의 말을 듣고 지켜봐야겠어.",sadness
"아니, 요즘 다 왜 이러는 거야? 정말 이해가 안돼.",angry
내가 좋아하는 유튜버가 뒷광고를 했다고 시청자들에게 사과하는 영상을 올렸어.,angry
지금 너무나 화가 났는데 마음을 진정시킬 수 있는 영상이 있으면 하나만 추천해줘.,angry
나 혼자 갇히게 된 거 같아.,fear
내가 잠을 자고 있는 동안에 비가 너무나 많이 와서 우리 동네가 홍수 피해지역이 됐대. 나 고립 된 거 같아.,fear
아직까지는 집 안에 물이 들어오지 않았어. 하지만 언제 물이 들어올까봐 너무 무섭고 걱정돼.,fear
"아직까지는 물이 집 안으로 들어오지 않았는데, 물이 조만간 들어올까봐 너무 걱정 돼.",fear
헐. 나 이벤트에 당첨되었어!,happiness
내가 좋아하는 인플루언서가 이벤트를 하더라고. 그래서 그냥 한 번 해봤더니 내가 된 거야!,happiness
딱 한명 뽑는 거였어. 거기서 내가 됐어.,happiness
그동안 열심히 달리고 노력했어. 그랬더니 결과가 너무 좋아.,happiness
내 휴가가 엉망이 되었어.,angry
신나는 음악을 들으면서 춤을 추는 것도 좋을 거 같아.,happiness
여름 휴가 하면 여름 바다잖아. 바다 가고 싶었어.,angry
정말 바빠서 일년 만에 휴가를 낸 거였거든. 운이 너무 안좋아.,angry
그냥 하늘만 원망하고 지내기보단 영화나 게임 그런걸 하고 보내는게 더 나을 것 같긴 해.,angry
지인의 소개로 한 번 시작을 했는데 오르지가 않아.,sadness
지금은 진정 됐지만 또 산책 갈 때 내가 겁을 먹을 거 같애.,surprise
나 축하해줘. 기분 좋은 일이 생겼어.,happiness
화장실은 자주 청소를 해도 곰팡이가 사라지질 않아.,angry
뛰는 순간은 힘들었지만 결승선을 밟는 순간 그 피로가 싹 가시더라고.,happiness
환기도 많이 시키고 청소도 자주 하는데 너무 오래된 집이라 곰팡이가 안 없어져.,angry
아는 지인의 소개로 시작하게 되었어.,sadness
처음 살 때보다 지금 손해가 너무 심해.,sadness
지금 팔 수도 없어. 팔면 나는 끝장 나.,sadness
쓰레기통에서 역겨운 냄새가 나고 있어!,disgust
나 자다가 정말 깜짝 놀랐어!,surprise
그러니까. 얼른 쓰레기 봉지에 담아서 버려야 되겠어. 냄새가 너무 심해! 벌레도 생기는 것 같아.,disgust
잠결에 들어서 그런지 갑자기 폭탄이 터지는 듯한 소리가 들리는거야! 그런 소린 처음 들어 봤잖아.,surprise
나도 처음엔 꿈인줄 알았지. 얼마나 놀랐는지 몰라.,surprise
놀란 건 많이 진정이 되었는데 잠이 또 안 올 거 같애.,surprise
깨끗이 닦고 환기시켜 말리고 해서 어쩔 수 없이 청소를 해야지.,disgust
내가 놀란 거 말고는 아무런 피해가 없어서 그나마 다행이야.,surprise
화장실은 청소를 해도 곰팡이가 없어지질 않아.,angry
조금 비싸. 백 만원이 넘어. 백 오십만원 정도 해.,happiness
그렇지 않아도 지금 뜯었어. 그런데 상품은 아주 좋아! 너무 마음에 들어.,happiness
"곰팡이 제거제라는 것도 있었어? 아, 진작에 알았으면 계속 그걸 썼지.",angry
당연히 그런게 있었으면 써야지. 구매할게.,angry
내가 음식물 쓰레기를 그곳에 버려버렸어.,disgust
바로 묶어서 버렸는데 냄새는 없어지지를 않아.,disgust
내가 잘못 했으니 내가 다 치워야지 뭐.,disgust
드디어 구매한 노트북이 도착했어!,happiness
그런것도 있었어? 좋은 정보 정말 고마워.,happiness
내가 달리기 운동을 너무 좋아해서 매년 열리는 마라톤 대회에 출전했더니 기록이 점점 좋아지는 거 같아.,happiness
함께 달리는 크루가 있어서 서로 응원하면서 격려해줘서 너무나 힘이 돼.,happiness
함께 달리는 크루가 있어서 서로 도와주고 하니까 너무나 큰 힘이 돼.,happiness
아까는 해피 때문에 너무 놀랐는데 집에 와서 좀 쉬고 나니까 마음이 진정됐어.,surprise
헐! 나 이벤트 당첨 됐어!,happiness
비싼 향수를 당첨 선물로 받았다고 주위 사람들한테 자랑했어. 다들 부러워 하더라고.,happiness
나 너무 우울해.,sadness
